unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g ,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g
81,12,c,1,10.007,6.81,9.013,13.702,,21.082,,13.702,21.082
82,14,c,1,10.021,6.686,13.591,13.728,,16.811,,13.728,16.811
83,15,c,1,10.02,11.74,14.116,11.944,,19.472,,11.944,19.472
84,16,c,1,10.004,6.877,9.293,6.821,,14.326,,6.821,14.326
85,17,c,1,10.029,13.915,14.452,14.025,,23.249,,14.025,23.249
86,18,c,1,10.004,6.969,13.911,13.799,,16.98,,13.799,16.98
87,19,c,1,10.017,6.479,12.33,6.657,,10.901,,6.657,10.901
88,20,c,1,10.035,6.98,13.617,13.989,,16.931,,13.989,16.931
89,21,c,1,9.179,6.904,13.32,11.775,,14.76,,11.775,14.76
90,22,c,1,8.725,6.844,9.942,13.712,,19.444,,13.712,19.444
91,23,c,1,8.915,6.778,13.81,12.036,,14.145,,12.036,14.145
92,24,c,1,8.862,6.926,11.425,13.794,,18.118,,13.794,18.118
93,25,c,1,9.265,6.881,8.984,13.878,,21.131,,13.878,21.131
94,27,c,1,9.36,6.858,12.601,14.055,,17.822,,14.055,17.822
95,28,c,1,9.58,6.869,15.358,11.68,,12.924,,11.68,12.924
96,29,c,1,9.298,6.828,10.174,11.843,,17.95,,11.843,17.95
97,30,c,1,10.044,6.852,12.748,12.011,,16.248,,12.011,16.248
98,31,c,1,10.008,6.837,14.921,6.894,,8.88,,6.894,8.88
99,32,c,1,9.329,6.851,10.285,13.988,,20.031,,13.988,20.031
100,33,c,1,10.015,6.914,11.97,13.952,,18.731,,13.952,18.731
101,34,c,1,10.032,6.868,9.776,6.758,,13.476,,6.758,13.476
102,36,c,1,10.047,6.891,16.132,6.902,,7.867,,6.902,7.867
103,37,c,1,10.035,6.848,11.287,13.823,,19.199,,13.823,19.199
104,38,c,1,10.005,6.813,8.146,6.849,,15.002,,6.849,15.002
105,39,c,1,10.012,13.76,22.098,13.929,,15.585,,13.929,15.585
106,40,c,1,10.003,13.823,17.17,13.953,,20.32,,13.953,20.32
107,41,c,1,9.061,6.699,8.653,11.835,,19.054,,11.835,19.054
108,42,c,1,9.373,6.818,8.184,14.153,,22.324,,14.153,22.324
109,43,c,1,9.333,6.841,8.354,11.849,,19.825,,11.849,19.825
110,44,c,1,10.047,6.881,9.757,6.837,,14.059,,6.837,14.059
111,45,c,1,10.03,11.776,14.905,11.624,,18.453,,11.624,18.453
112,46,c,1,10.006,6.698,7.651,13.834,,22.659,,13.834,22.659
113,47,c,1,10.033,6.862,10.314,11.7,,18.304,,11.7,18.304
114,48,c,1,10.046,6.855,13.887,14.123,,17.297,,14.123,17.297
115,49,c,1,10.039,7.075,11.181,6.769,,12.8,,6.769,12.8
116,50,c,1,10.03,6.75,7.252,6.622,,16.016,,6.622,16.016
117,51,c,1,10.025,6.929,9.497,6.97,,14.489,,6.97,14.489
118,52,c,1,9.246,6.921,11.097,13.958,,18.996,,13.958,18.996
119,53,c,1,10.017,11.699,18.319,11.707,,15.244,,11.707,15.244
120,54,c,1,10.005,14.141,16.022,13.935,,21.785,,13.935,21.785
121,55,c,1,10.03,14.103,18.248,13.906,,19.437,,13.906,19.437
122,56,c,1,10.031,6.723,13.58,14.094,,17.103,,14.094,17.103
123,57,c,1,8.173,6.849,11.776,11.784,,15.066,,11.784,15.066
124,58,c,1,10.037,7.125,12.453,6.993,,11.729,,6.993,11.729
125,59,c,1,10.03,6.879,8.848,6.832,,14.722,,6.832,14.722
126,60,c,1,9.097,11.942,18.791,13.972,,16.397,,13.972,16.397
127,61,c,1,10.021,11.573,18.247,11.788,,14.982,,11.788,14.982
128,62,c,1,10.009,6.841,15.42,6.669,,8.216,,6.669,8.216
129,63,c,1,10.026,14.134,20.743,11.692,,14.995,,11.692,14.995
130,64,c,1,10.044,6.765,9.536,6.938,7.067,8.99,11.965,14.005,20.955
131,67,c,1,10,13.661,16.027,13.874,,21.357,,13.874,21.357
132,68,c,1,7.442,11.963,14.467,11.909,,17.059,,11.909,17.059
133,69,c,1,8.646,14.105,16.362,11.894,,18.19,,11.894,18.19
134,71,c,1,10.013,14.322,19.861,13.89,,18.348,,13.89,18.348
136,7,e,1,9.999,11.876,20.84,11.915,,12.681,,11.915,12.681
