Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep
102,103,253.8,5.175,1.978,0.4844,7.252,0.5441,9.554,0.531,2,22.8,1
103,36,485.4,3.7,2.018,0.4136,0.7833,0.6283,0.035,0.4982,2,14,1
105,104,473.8,4.786,0.5962,0.4933,0.7926,0.4665,0.0959,0.4988,2,9.4,1
106,37,20.25,1.403,2.093,0.2865,1.873,0.3947,4.254,0.5042,2,9.2,1
108,105,51.03,1.527,1.633,0.3055,2.501,0.3339,4.409,0.5016,2,10.1,1
109,38,8.813,1.93,3.269,0.8367,3.208,0.9506,3.533,0.4972,2,17,1
111,106,10.15,2.618,2.467,0.2657,5.836,1.571,6.334,0.4963,2,10.6,1
112,39,18.45,2.118,1.258,0.3115,8.043,1.46,6.244,0.4964,2,31.2,1
114,107,11.47,2.902,0.7739,0.5628,5.986,0.215,10.44,0.5049,2,14.3,1
115,40,5.935,0.5804,0.8888,0.2889,6.669,5.446,2.82,0.4967,2,28.2,1
117,108,4.612,1.069,0.5762,0.3159,3.572,0.2848,7.599,0.492,2,10.7,1
118,41,2.275,0.125,0.428,0.3567,8.51,0.2257,3.878,0.5083,2,16.9,1
120,109,8.457,1.076,0.5262,0.7428,5.785,0.0471,11.97,0.4924,2,11.4,1
121,42,4.925,0.8779,1.057,0.3043,5.286,7.216,9.906,0.5208,2,44.7,1
123,110,1.546,0.5432,0.7842,0.2638,3.185,2.213,6.26,0.4933,2,15.8,1
124,43,30.76,4.03,5.177,0.4335,30.16,7.462,21.93,0.5067,5,20.1,1
126,111,9.245,4.362,0.7964,1.965,9.569,2.496,7.213,0.5093,2,5.4,1
127,44,3.188,0.4911,0.903,0.2814,2.21,0.7521,6.872,0.5099,2,44.6,1
129,112,0.4248,0.5386,0.7652,0.4167,2.439,0.0981,8.781,0.4995,2,21,1
130,45,13.4,0.8696,0.7733,0.3015,3.979,3.244,10.09,0.4993,4,26.9,1
132,113,2.808,0.5041,0.5851,0.0702,3.017,1.212,8.706,0.5049,2,18.5,1
133,46,0.3643,1.921,0.8559,0.3265,12.9,0.1089,11.3,0.4946,4,35.4,1
135,114,0.5497,1.641,0.5683,0.3451,7.054,0.1089,10.51,0.5191,2,26,1
136,47,0.9692,0.3582,1.146,0.2866,6.395,0.0518,7.036,0.5032,2,52,1
138,115,0.2048,0.047,0.5957,0.225,4.293,0.0525,7.342,0.5188,2,32.8,1
139,48,14.04,0.8669,1.503,0.2625,13.51,7.061,8.039,0.5184,2,42.3,1
141,116,8.655,0.8858,1.106,0.3001,9.718,0.3688,12.08,0.5034,2,13.7,1
142,49,9.315,1.954,1.262,0.3022,24.67,4.419,15.29,0.5129,4,32.9,1
144,117,5.882,2.166,0.7369,0.265,13.26,2.221,9.279,0.4973,2,15.4,1
145,50,6.248,1.901,0.8871,0.305,15.44,2.767,9.428,0.5019,2,41.8,1
147,118,2.583,1.191,0.7489,0.3341,21.92,0.3099,10.74,0.496,4,35.2,1
148,51,1.542,1.523,0.6198,0.3716,26.89,0.0784,31.46,0.5013,12,41,1
150,119,5.039,1.068,0.4691,0.2862,10.3,0.1156,17.72,0.4963,4,56.1,1
151,52,4.421,1.308,1.133,0.3575,17.27,0.4452,13.28,0.499,10,16.2,1
153,120,2.103,2.099,0.7727,0.369,13.2,1.19,9.742,0.5082,2,21.4,1
154,53,3.294,0.702,0.7273,0.2924,28.18,0.3793,15.39,0.5106,4,52.5,1
156,121,3.651,1.568,0.7351,0.2537,11.44,1.708,11.19,0.5042,2,36.2,1
157,54,1.897,0.966,1.454,0.8646,15.42,1.494,7.669,0.5012,5,27.4,1
158,122,1.046,0.7088,1.059,0.277,17.1,4.668,10.43,0.5114,5,15.6,1
159,55,3.461,1.507,1.272,0.5485,5.532,0.176,3.993,0.5008,2,68.5,1
161,123,0.6349,0.0823,0.4512,0.3272,21.38,0.0252,139.3,0.5014,20,62,1
163,56,8.501,2.206,1.333,0.3621,31.58,3.636,14.69,0.4935,4,36.9,1
165,124,6.197,2.183,0.9315,0.3254,9.857,0.8148,6.039,0.5149,5,4.1,1
166,57,7.47,1.678,0.9543,0.5638,29.86,2.822,10.75,0.4948,4,32.3,1
169,125,1.284,1.752,0.5023,0.8617,27.83,2.309,10.81,0.5096,2,15.7,1
170,58,24.37,1.36,0.7283,0.3337,13.69,0.9583,15.11,0.5034,12,16.6,1
171,126,9.654,2.08,0.6498,0.3422,11.09,0.6992,6.8,0.5037,2,13.9,1
172,59,15.51,4.477,1.243,1.271,14.19,0.1544,10.87,0.4923,4,24.1,1
174,127,14.19,5.191,1.706,1.243,24.68,0.469,10.78,0.5014,2,13.5,1
175,60,1.082,0.3036,0.6816,0.2871,18.82,0.3346,12.32,0.4994,12,20.7,1
