="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="11/21/2019 11:30:42 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:19:00 PM"	="1"	="1"	="NPOC"	="0.000"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:21:09 PM"	="1"	="2"	="NPOC"	="1.939"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:23:12 PM"	="1"	="3"	="NPOC"	="1.641"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:25:15 PM"	="1"	="4"	="NPOC"	="2.148"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:27:19 PM"	="1"	="5"	="NPOC"	="1.887"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:37:40 PM"	="2"	="1"	="NPOC"	="19.88"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:42:43 PM"	="2"	="2"	="NPOC"	="21.09"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:47:46 PM"	="2"	="3"	="NPOC"	="21.74"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:52:46 PM"	="2"	="4"	="NPOC"	="22.54"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 12:57:49 PM"	="2"	="5"	="NPOC"	="20.77"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:08:10 PM"	="3"	="1"	="NPOC"	="42.01"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:13:13 PM"	="3"	="2"	="NPOC"	="41.81"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:18:16 PM"	="3"	="3"	="NPOC"	="44.99"	="10.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:23:19 PM"	="3"	="4"	="NPOC"	="44.64"	="10.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:28:22 PM"	="3"	="5"	="NPOC"	="42.83"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:38:43 PM"	="4"	="1"	="NPOC"	="87.36"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:43:46 PM"	="4"	="2"	="NPOC"	="84.85"	="20.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:48:49 PM"	="4"	="3"	="NPOC"	="89.34"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 1:53:54 PM"	="4"	="4"	="NPOC"	="88.50"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 2:04:20 PM"	="5"	="1"	="NPOC"	="217.8"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_21_12_10_36.cal"	=""	1.00	=""	="11/21/2019 2:09:40 PM"	="5"	="2"	="NPOC"	="216.8"	="50.00"	=" "	0	="80"	
