unique_ID,pedon_ID,horizon,location,state,latitude_longitude_full,latitude,longitude,depth_inches,horizon_top_inches,horizon_bottom_inches,horizon_middle_inches,total_depth_sampled_inches,region,soil_order,dominant_vegetation_class,soil_moisture_regime,soil_temperature_regime,elevation_m,horizon_old,mat_c,map_mm,aridity,series_extent_map_acres,common_vegetation,soil_family,soil_series_name,date_sampled,soil_series_checked with red book,mean_GWC,mean_HWC,mean_VWC,mean_db,pH,percent_carbonate,delta13C_vs_VPDB,delta15N_vs_at_air_air,SOC,TN,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio,extract,Ca,Mg,Na,K,CEC,mean_DOC_wet,mean_DN_wet,mean_MBC_wet,mean_MBN_wet,texture_class,sand,silt,clay,silt_clay
46,48,a,Stone Mountain,NC,"36.39753, -81.03891",36.39753,-81.03891,0-2,0,2,1,17,southeast,ultisol,deciduous hardwood forest,udic,mesic,536,a,12.36,1215,0.744,169922,"scarlet oak, white oak, yellow-poplar, eastern white pine, shortleaf pine, Virginia pine, and northern red oak. Understory plants include mountain-laurel, rhododendron, blueberry, greenbrier, flowering dogwood, black locust, honeysuckle, sourwood, and flame azalea","Fine-loamy, mixed, semiactive, mesic Typic Hapludults",tate,7-16-19,not listed,0.29260099,0.011715492,0.168926926,0.592292173,3.5,0,-28.37,2.73,6.02,0.26,2.862919531,2.608168217,2.284674484,4.892842701,0.721055789,0.277044591,0.384220743,ammonium chloride,1,0.5,0,0.2,1.7,0.078877719,0.003676089,0.346924884,0.040901926,Sandy Loam,65,23.8,11.3,35.1
47,49,a,Jefferson,VA,"37.80105, -79.63214",37.80105,-79.63214,0-2.5,0,2.5,1.25,20,southeast,inceptisol,deciduous hardwood forest,udic,mesic,520,a,11.52,1049,0.637,152326,"oaks, hickory, yellow poplar and locust","Loamy-skeletal, mixed, active, mesic Ruptic-Ultic Dystrudepts",litz,7-16-19,x,0.526035433,0.019334576,0.305577491,0.716786707,2.9,0,-28.86,0.05,12.62,0.5,2.066772655,1.270866455,1.398251192,2.669117647,0.640722927,0.384929311,0.60077343,ammonium chloride,1,0.7,0,0.4,2.1,0.161251967,0.00635721,0.781609481,0.083294166,Sandy Loam,68.8,18.8,12.5,31.3
48,50,a,Monongahela,WV,"38.96732, -79.23654",38.96732,-79.23654,0-7,0,7,3.5,26,southeast,alfisol,deciduous hardwood forest,udic,mesic,510,a,10.64,973,0.624,49682,mixed oaks,"Clayey, mixed, active, mesic Lithic Hapludalfs",opequon,7-16-19,not listed,0.397963714,0.01602423,0.470312681,1.187518561,4.88,0,-26.44,4.28,3.32,0.29,1.631944444,2.606095679,1.550733025,4.156828704,0.190908185,0.801515303,4.19843342,ammonium chloride,13.3,0.9,0,0.4,14.6,0.039881761,0.005076972,0.207004896,0.037435185,Loam,27.5,50,22.5,72.5
49,51,a,Finger Lakes,NY,"42.49991, -76.78338",42.49991,-76.78338,0-6,0,6,3,20,northeast,inceptisol,deciduous hardwood forest,aquic,mesic,547,a,7.08,952,0.728,195885,"sugar maple, white ash, northern red oak, white pine, and hemlock","Fine-loamy, mixed, active, mesic Aeric Fragiaquepts",erie,NA,NA,0.50869172,0.020788571,0.58348953,1.149792945,4.65,0,-26.9,3.46,4.07,0.38,2.565802301,4.809904465,2.981087931,7.790992396,0.229385307,0.72193903,3.147276688,ammonium chloride,10.2,2.6,0,0.4,13.2,0.018636703,0.005382006,0.323096495,0.065269458,Loam,28.8,48.8,22.5,71.3
50,52,a,Waitsfield,VT,"44.18097, -72.81145",44.18097,-72.81145,0-3,0,3,1.5,20,northeast,spodosol,mixed coniferous and hardwood forest,udic,frigid,260,a,5.93,1072,0.878,696634,"paper birch, eastern white pine, white ash, red pine, balsam fir, white spruce, sugar maple, yellow birch, and red spruce","Coarse-loamy, isotic, frigid Typic Haplorthods",berkshire,7-23-19,NA,0.258722381,0.006715994,0.334500463,1.283928469,4.69,0.035516302,-27.81,3.21,2.535737947,0.17,1.665670452,3.076310022,1.878461845,4.954771867,0.575327402,0.430370889,0.748045178,ammonium chloride,4.2,1,0,0.2,5.4,0.013732295,0.001528945,NA,NA,Sandy Loam,60,27.5,12.5,40
51,53,a,White Mountains,NH,"44.33556, -71.45994",44.33556,-71.45994,0-11,0,11,5.5,28,northeast,inceptisol,mixed coniferous and hardwood forest,aquic,frigid,493,a,4.59,1101,0.954,282829,"red maple, sugar maple, eastern white pine, yellow birch, red spruce, balsam fir, and northern red oak","Coarse-loamy, mixed, superactive, acid, frigid Humic Endoaquepts",Pillsbury,7-23-19,NA,0.55521177,0.01818013,0.384801285,0.692474643,4.01,0,-26.8,6.7,7.54,0.41,9.814482346,5.364053461,6.275683224,11.63973668,0.625110299,0.38963822,0.623311151,ammonium chloride,1.2,0.1,0,0.1,1.4,0.074928192,0.005042039,0.255991255,0.028126365,Sandy Loam,67.5,26.3,6.3,32.6
52,54,a,Bangor,ME,"44.96711, -68.54115",44.96711,-68.54115,0-4,0,4,2,21,northeast,spodosol,mixed coniferous and hardwood forest,aquic,frigid,51,a,6.08,1067,0.828,1676254,"red maple, elm, gray birch, white ash, balsam fir, red and white spruce, tamarack, and some eastern white pine","Coarse-loamy, isotic, frigid Aquic Haplorthods",peru,7-25-19,NA,0.325800103,0.017238268,0.268271048,0.827448514,4.21,0,-26.98,3.44,3.5,0.19,3.246492986,3.460921844,2.661322645,6.122244489,0.219206681,0.797384903,3.637593985,ammonium chloride,5.1,0.9,0,0.4,6.4,NA,0.001589964,NA,NA,Silt Loam,30,52.5,17.5,70
53,55,a,Aroostook,ME,"46.60899, -68.00532",46.60899,-68.00532,0-2,0,2,1,30,northeast,spodosol,mixed coniferous and hardwood forest,aquic,frigid,193,a,3.84,924,0.803,642598,"sugar maple, yellow birch, paper birch, eastern white pine, red pine, white spruce, red spruce and balsam fir","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods",plaisted,7-26-19,NA,0.335372085,0.018901121,0.220485268,0.663970844,3.89,0,-27.4,4.66,4.74,0.3,4.112808461,5.518997258,3.014101058,8.533098316,0.38372093,0.629730962,1.641117053,ammonium chloride,3.5,0.7,0,0.2,4.4,0.051529314,0.00214148,NA,NA,Loam,45,42.5,12.5,55
54,56,a,John Lusby,NS,"45.93782, -64.24513",45.93782,-64.24513,0-3,0,3,1.5,8,northeast,spodosol,mixed coniferous and hardwood forest,udic,cryic,4,a,5.62,1136,1.078,NA,NA,NA,NA,7-30-19,NA,0.318577952,0.109981991,0.1408423,0.44390475,3.39,0,-28.54,1.61,8.67,0.6,2.733439745,3.076616121,1.530127694,4.606743815,0.799159573,0.217864454,0.272616961,NA,NA,NA,NA,NA,NA,0.123937867,0.039314502,0.522574037,0.100009914,NA,NA,NA,NA,NA
55,57,a,Halifax,NS,"44.69163, -63.69353",44.69163,-63.69353,0-4,0,4,2,14,northeast,spodosol,mixed coniferous and hardwood forest,udic,cryic,57,a,6.56,1448,1.281,NA,NA,NA,NA,7-31-19,NA,0.575387713,0.038448361,0.130782136,0.284618815,2.76,0,-28.14,0.17,23.58,0.89,2.735623003,1.104632588,0.797324281,1.901956869,0.761154391,0.245927762,0.323098395,ammonium chloride,4.1,3.1,0.3,0.3,7.8,0.116822734,0.008440692,0.923869084,0.128563445,Sandy Loam,71.3,26.3,2.5,28.8
56,58,a,Kentville,NS,"45.04668, -64.51592",45.04668,-64.51592,0-13,0,13,6.5,23,northeast,spodosol,mixed coniferous and hardwood forest,udic,cryic,108,a,6.25,1216,1.072,NA,NA,NA,NA,NA,NA,0.562173202,0.019414676,0.495043918,0.886132806,4.7,0,-27.39,2.48,4.7,0.37,2.990881459,6.399189463,2.976697062,9.375886525,0.474832419,0.547714808,1.15349076,NA,NA,NA,NA,NA,NA,0.017907592,0.003821885,0.224064125,0.046862143,NA,NA,NA,NA,NA
57,59,a,Portobello Creek,NB,"45.90001, -6625796",45.90001,-6625796,0-3,0,3,1.5,18,northeast,spodosol,deciduous hardwood forest,udic,cryic,12,a,5.64,1115,0.978,NA,NA,NA,NA,2008-02-19,NA,0.451581312,0.017204934,0.224257829,0.492948051,4.36,0,-27.78,2.19,3.23,0.32,2.611156023,6.03476152,2.172594988,8.207356508,0.165956439,0.849786932,5.120542083,ammonium chloride,6.9,0.8,0.2,0.2,8.1,0.023212485,0.016938344,0.319212831,0.057193762,Silt Loam,21.3,61.3,17.5,78.8
58,60,a,Cabano,QC,"47.65099, -68.90663",47.65099,-68.90663,0-16,0,16,8,21,northeast,spodosol,deciduous hardwood forest,udic,cryic,178,a,3.03,1001,0.903,NA,NA,NA,NA,2008-03-19,NA,0.438106792,0.021528112,0.380190376,0.90331892,5.34,0,-26.02,3.84,4.71,0.32,3.957091776,2.71950735,3.001589193,5.721096544,0.322635356,0.685322896,2.12414072,NA,NA,NA,NA,NA,NA,0.01650992,0.003204951,0.109939836,0.019277345,NA,NA,NA,NA,NA
59,61,a,Trois R,QC,"46.29235, -72.71221",46.29235,-72.71221,0-4,0,4,2,15,northeast,spodosol,mixed coniferous and hardwood forest,udic,cryic,10,a,4.86,993,0.879,NA,NA,NA,NA,2008-05-19,NA,0.421958808,0.011743707,0.299289888,0.702115634,4.41,0,-29.64,1.32,4.78,0.32,1.958155596,2.882388787,2.20800325,5.090392037,0.785680916,0.193763139,0.246618106,NA,NA,NA,NA,NA,NA,0.036278273,0.007892718,0.279338613,0.048978537,NA,NA,NA,NA,NA
60,62,a,Vermontville,NY,"44.50437, -74.02174",44.50437,-74.02174,05-Jan,1,5,3,23,northeast,spodosol,mixed coniferous and hardwood forest,udic,frigid,528,a,4.34,1042,0.93,937810,"northern red oak, eastern white pine, paper birch, American beech, eastern hemlock, and red pine","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid Typic Haplorthods",monandock,2008-09-19,NA,0.298455853,0.014155837,0.228868738,0.77211761,3.83,0,-26.93,4.15,5.01,0.27,4.973968763,3.768522227,2.466960352,6.235482579,0.766166347,0.247488997,0.323022536,ammonium chloride,1,0.2,0,0.1,1.3,0.05467238,0.003433092,0.282902538,0.03496829,Sandy Loam,70,25,5,30
61,63,a,Ohio,NY,"43.36009, -74.96689",43.36009,-74.96689,0-6,0,6,3,16,northeast,spodosol,mixed coniferous and hardwood forest,udic,frigid,403,a,5.73,1258,1.058,815798,"maple, beech, spruce, and pine","Sandy, isotic, frigid Typic Haplorthods",adams,2008-11-19,NA,0.396566079,0.011201465,0.292583112,0.743194638,4.06,0,-25.97,6.89,7.56,0.48,7.444051826,6.228896741,3.820180605,10.04907735,0.67653864,0.328898658,0.486149111,ammonium chloride,0.1,0.1,0,0,0.2,0.048121589,0.00681778,0.199180541,0.032650721,Sandy Loam,71.3,21.3,7.5,28.8
62,64,a,Moscow,ID,"46.798639, -116.900646",46.798639,-116.900646,0-6,0,6,3,65,west,alfisol,coniferous forest,xeric,frigid,1021.3,a,7.16,700,0.466,48198,"grand fir, Douglas-fir, western white pine, ponderosa pine, western larch, and lodgepole pine, with an understory of myrtle pachystima, Columbia brome, American trailplant, baldhip rose, starry false-Solomon's-seal, sweetscented bedstraw, pine reedgrass, common snowberry, elk sedge, mallow ninebark, creambush oceanspray, and white spirea","Fine-loamy, isotic, frigid Vitrandic Haploxeralfs",kruse,2008-12-19,NA,0.196436183,0.03106147,0.093894867,0.48330706,5.54,0,-27.01,-1.5,9.52,0.4,10.49790042,3.00139972,3.74525095,6.74665067,0.355393779,0.669644827,1.884233395,ammonium chloride,34.7,2.2,0.1,0.7,37.7,NA,NA,0.487611424,0.064650291,Silt Loam,32.5,56.3,11.3,67.6
63,65,a,Brundage,ID,"44.957924, -116.169672",44.957924,-116.169672,0-3,0,3,1.5,15,west,entisol,coniferous forest,xeric,frigid,1525.7,a,4.56,618,0.409,48139,"Douglas-fir, ponderosa pine, white spirea and mallow ninebark","Sandy-skeletal, mixed, frigid Typic Xerorthents",quartzburg variant,2008-10-19,NA,0.308312038,0.051450163,0.17060362,0.556662425,4.37,0,-24.96,4.79,4.48,0.33,2.051074179,7.10985002,5.782326713,12.89217673,0.5476295,0.471356453,0.860721443,ammonium chloride,17.2,5.3,0.1,1.6,24.2,NA,NA,NA,NA,Loam,35,48.8,16.3,65.1
64,66,a,Payette,ID,"43.83892, -116.24186",43.83892,-116.24186,0-4,0,4,2,13,west,vertisol,shrubs,xeric,mesic,1286.4,a,8.44,516,0.261,2217,"eric big sagebrush, antelope bitterbrush, biscuitroot, Idaho fescue and bluebunch wheatgrass","Fine, smectitic, mesic Chromic Haploxererts",doubledia,2008-10-19,NA,0.052079881,0.016969117,0.072936191,1.388721848,5.35,0,-26.22,4.12,1.17,0.13,0.630783758,2.375826251,1.715958451,4.091784703,0.686204147,0.31638756,0.461069146,ammonium chloride,8.5,2.9,0,0.2,11.6,NA,NA,NA,NA,Sandy Loam,70,12.5,17.5,30
65,67,a,Wallowa,OR,"45.69370, -117.27433",45.6937,-117.27433,0-4,0,4,2,14,west,andisol,coniferous forest,udic,frigid,1489.8,a,4.96,496,0.34,217188,"grand fir, western larch, lodgepole pine, twinflower, princes pine, pinegrass, big huckleberry, and round-leaved violet","Ashy over loamy-skeletal, amorphic over isotic, frigid Alfic Udivitrands",syrupcreek,2008-11-19,NA,0.184337276,0.045361302,0.154675026,0.852598925,5.36,0,-25.65,2.35,5.9,0.34,2.398153723,6.12281758,4.495283965,10.61810155,0.334119497,0.701707098,2.100168067,ammonium chloride,29.2,6.3,0,2.6,38.1,NA,NA,NA,NA,Loam,35,40,25,65
66,68,a,Ribdon,AK,"68.87527, -148.85726",68.87527,-148.85726,0-10,0,10,5,NA,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,435,a,-9.57,215,0.348,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-16-19,NA,NA,NA,NA,NA,3.91,0,-27.65,0.88,38.37,1.13,8.628683694,2.867976424,1.291159136,4.15913556,0.878877888,0.169636964,0.193015396,ammonium chloride,31.9,5.1,0.2,1.5,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,69,a,Sagavanirktok (Sag),AK,"68.80778, -148.81831",68.80778,-148.81831,0-7,0,7,3.5,13,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,449,a,-9.32,217,0.343,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-17-19,NA,NA,NA,NA,NA,6.19,0,-27.9,0.87,25.34,1.14,8.874898457,3.78757108,1.716287571,5.503858652,0.753446295,0.255456634,0.339050886,ammonium chloride,34.2,2.7,0.1,0.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,70,a,Flat,AK,"68.72625, -148.96219",68.72625,-148.96219,0-7.5,0,7.5,3.75,7.5,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,609,a,-8.37,231,0.333,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-17-19,NA,NA,NA,NA,NA,6.81,0,-26.51,2.1,26.59,2.12,7.34055355,3.190934617,1.540312876,4.731247493,0.725062344,0.362219451,0.499570077,ammonium acetate,77.1,4.3,0.2,0.3,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,71,a,Slope Mountain,AK,"68.68810, -149.08035",68.6881,-149.08035,0-7,0,7,3.5,15,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,771,a,-8.77,240,0.371,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-17-19,NA,NA,NA,NA,NA,6.69,0.22541286,-27.38,-0.47,10.91294984,0.64,4.938171498,4.003648895,1.763429961,5.767078857,0.623814279,0.382675986,0.613445378,ammonium acetate,50.1,3.5,0.1,0.5,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,72,a,Oksrukuyik Creek (Oks),AK,"68.65769, -149.27447",68.65769,-149.27447,0-4,0,4,2,12,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,846,a,-9.2,238,0.381,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-17-19,NA,NA,NA,NA,NA,3.75,0,-26.28,0.28,28.25,0.49,9.483380056,19.99199039,7.601121346,27.59311173,0.670219853,0.305796136,0.456262425,ammonium chloride,24.5,9.6,0.4,0.6,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,73,a,Kuparuk River,AK,"68.64657, -149.40943",68.64657,-149.40943,0-5,0,5,2.5,17,arctic,gelisol,tussock sedges and forbes,aquic,pergelic,735,a,-9.17,237,0.385,NA,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",NA,NA,9-17-19,NA,NA,NA,NA,NA,5.18,12.50628745,NA,NA,NA,NA,4.46,9.734,3.744,13.478,0.348678602,0.701619778,2.012224939,ammonium chloride,26.9,5.4,0.1,0.4,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2,c,Whitlam Woods,OH,"41.63110, -81.19026",41.6311,-81.19026,15-22+,15,22,18.5,22,northeast,alfisol,deciduous hardwood forest,aquic,mesic,332,c,8.77,1092,0.783,204577,deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",ellsworth,6-18-19,x,0.258429634,0.016839308,0.409951695,1.588667613,3.91,0,-27.95,1.01,12.73,0.57,0.599640216,3.383969618,2.758344993,6.142314611,0.216960638,0.778276034,3.58717619,ammonium chloride,2.2,0.6,0,0.1,2.9,0.034379098,3.47E-04,0.054184551,0.001952128,Clay Loam,22.5,43.8,33.8,77.6
73,3,c,Punderson Park,OH,"41.46000, -81.20551",41.46,-81.20551,20-Sep,9,20,14.5,20,northeast,alfisol,deciduous hardwood forest,aquic,mesic,353,c,8.88,1081,0.764,204577,deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",ellsworth,6-19-19,x,NA,NA,NA,NA,3.91,0,-24.46,3.76,0.4,0.07,0.81107814,2.447082097,2.453016815,4.900098912,0.365817241,0.640453912,1.750748299,ammonium chloride,1.8,0.7,0,0.1,2.6,0.034667122,9.47E-04,0.060311443,0.003417853,Loam,45,35,20,55
74,4,c,Potato Creek,IN,"41.56243, -86.36216",41.56243,-86.36216,24-32+,24,32,28,32,midwest,alfisol,deciduous hardwood forest,udic,mesic,245,c,9.67,991,0.657,165603,mixed deciduous hardwood forest,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",martinsville,6-19-19,x,0.18911651,0.012304319,0.326745753,1.73034826,4.65,0,-24.7,5.8,0.54,0.06,0.281411019,1.768331352,1.497027348,3.2653587,0.34615768,0.627628825,1.813129859,NA,NA,NA,NA,NA,NA,0.018877458,0.002694761,0.031014722,0.004067792,NA,NA,NA,NA,NA
75,5,c,Shoe Factory Rd,IL,"42.06039, -88.15951",42.06039,-88.15951,32-50+,32,50,41,50,midwest,mollisol,grasses,aquic,mesic,262,c,8.9,917,0.616,152788,prairie grasses,"Fine, illitic, mesic Oxyaquic Argiudolls",varna,6-20-19,NA,NA,NA,NA,NA,7.15,12.50628745,-3.16,5.26,1.479211519,0.06,0.145454545,1.327272727,1.159191919,2.486464646,0.161785216,0.841004184,5.198275862,NA,NA,NA,NA,NA,NA,0.014181173,0.001114822,0.030017135,0.003090575,NA,NA,NA,NA,NA
76,6,c,Pecatonica,IL,"42.31607, -89.36173",42.31607,-89.36173,40-50+,40,50,45,50,midwest,mollisol,grasses,aquic,mesic,228,c,8.38,883,0.598,93530,grasses and trees,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",lawson,6-20-19,x,NA,NA,NA,NA,5.81,0,-3.37,4.58,3.05,0.06,0.420926037,3.986770896,2.116656645,6.103427541,0.051709671,0.952695616,18.42393509,ammonium chloride,14.7,8.1,0.1,0.1,23,0.010185852,0.001726773,0.021044443,0.003947531,Silt Loam,17.5,60,22.5,82.5
77,7,c,Black River Falls,WI,"44.21725, -90.61480",44.21725,-90.6148,21-35+,21,35,28,35,midwest,spodosol,mixed coniferous and hardwood forest,aquic,frigid,311,c,6.54,842,0.64,40509,"mixed coniferous and deciduous forest. Common trees are jack pine, eastern white pine, northern pin oak, swamp white oak, paper birch, aspen, and red maple","Sandy, siliceous, frigid Typic Endoaquods",Ironrun,6-21-19,NA,0.16456703,0.003584066,0.289229724,1.758432886,4.45,0,-20.85,7.43,0.6,0.08,0.793021412,0.669111816,0.868953212,1.538065028,0.966882793,0.040299252,0.041679563,NA,NA,NA,NA,NA,NA,0.017090218,NA,0.021855915,0.001748148,NA,NA,NA,NA,NA
78,8,c,Fox Coulee,WI,"44.46521, -92.02736",44.46521,-92.02736,25-40+,25,40,32.5,40,midwest,entisol,deciduous hardwood forest,aquic,mesic,211,c,7.24,805,0.574,103588,"red maple, swamp white oak, quaking aspen, and white ash","Mixed, mesic Aquic Udipsamments",algansee,6-21-19,x,NA,NA,NA,NA,5.52,0,-24.19,5.11,0.26,0.03,0.268160897,3.380028017,1.068040824,4.448068841,0.806223197,0.195671686,0.242701633,ammonium chloride,3.7,2,0,0,5.7,0.00924672,0.001402421,0.014720587,0.002369889,Sandy Loam,75,16.3,8.8,25.1
79,9,c,Great Bluffs,MN,"43.94445, -91.39575",43.94445,-91.39575,31-45+,31,45,38,45,midwest,alfisol,deciduous hardwood forest,udic,mesic,391,c,7.16,828,0.591,34302,"deciduous forest with white and red oaks, hickory, and basswood being the more common species","Fine-silty, mixed, superactive, mesic Typic Hapludalfs",Blackhammer,6-21-19,NA,NA,NA,NA,NA,4.51,0,-23.56,4.54,0.15,0.02,0.198216056,2.368681863,1.597026759,3.965708622,0.303783568,0.69192373,2.277686494,NA,NA,NA,NA,NA,NA,0.018743133,NA,0.020153938,0.0019176,NA,NA,NA,NA,NA
80,11,c,Good Soldier,SD,"44.01227, -99.45010",44.01227,-99.4501,21-45+,21,45,33,45,north central,vertisol,grasses,ustic,mesic,489,c,8.22,475,0.26,1093351,"western wheatgrass, green needlegrass, blue grama, sideoats grama, and sedges","Fine, smectitic, mesic Leptic Haplusterts",Opal,6-22-19,NA,NA,NA,NA,NA,7.56,1.458476812,-14.28,2.88,0.494978819,0.08,0.251424082,3.771361226,1.166961304,4.93832253,0.06651719,0.935938501,14.070626,NA,NA,NA,NA,NA,NA,0.009967054,NA,0.03352448,0.004069157,NA,NA,NA,NA,NA
81,12,c,Cottonwood,SD,"43.98026, -101.89979",43.98026,-101.89979,22-30+,22,30,26,30,north central,inceptisol,grasses,ustic,mesic,1087,c,8.44,433,0.216,1342445,"Native grasses are mainly western wheatgrass, green needlegrass, sideoats grama, blue grama, buffalograss, and forbs","Fine, smectitic, mesic Torrertic Haplustepts",pierre,6-23-19,x,NA,NA,NA,NA,7.48,6.09085352,-11.99,3.96,0.679081025,0.11,0.325396825,1.12797619,1.830952381,2.958928571,0.220145898,0.737483761,3.349977304,ammonium acetate,49.3,4.1,1.2,0.5,55.1,0.01527984,0.002762782,0.05669244,0.006758827,Clay,26.3,31.3,42.5,73.8
82,14,c,Spearfish,SD,"44.45069, -103.86455",44.45069,-103.86455,18-36+,18,36,27,36,north central,alfisol,shrubs,udic,frigid,1306,c,7.38,559,0.296,184486,"ponderosa pine with lesser amounts of aspen, birch, and bur oak. Understory species include Kentucky bluegrass, needlegrass, timber oatgrass, roughleaf ricegrass, and little bluestem. Shrubs include bearberry, oregon-grape, common juniper, buffaloberry, and snowberry","Loamy-skeletal, mixed, superactive, frigid Inceptic Hapludalfs",vanocker,6-24-19,x,0.291977842,0.093047545,0.296146087,1.013561554,7.12,20.9064083,-9.5,3.38,4.181174188,0.15,0.55666004,0.090477137,0.014691849,0.105168986,0.689052989,0.307653927,0.446488052,ammonium acetate,43.7,2.3,0,0.2,46.2,0.018343829,0.007152447,0.042945924,0.012780319,Sandy Loam,65,25,10,35
83,15,c,Twisted Cedar,WY,"44.13849, -104.59112",44.13849,-104.59112,10-18+,10,18,14,18,west,aridisol,shrubs,ustic,mesic,1306,c,6.93,386,0.2,122218,"western wheatgrass, sedge, blue grama, cactus","Fine, montmorillonitic, mesic Ustic Haplocambids",savageton,6-24-19,x,0.16963775,0.034714903,0.144614862,0.844634628,3.82,0,-23.68,3.72,0.79,0.09,NA,0.722941997,1.57783536,2.300777357,0.237125749,0.751297405,3.168350168,ammonium chloride,4.2,6.6,4.3,0.3,15.4,0.068483393,0.004599275,0.0846584,0.005478,Clay Loam,27.5,35,37.5,72.5
84,16,c,Tensleep,WY,"44.05055, -107.43088",44.05055,-107.43088,3-20+,3,20,11.5,20,west,entisol,shrubs,ustic,mesic,1409,c,7.24,304,0.151,100947,"sagebrush, cactus, blue grama, needleandthread","Fine-loamy, mixed (calcareous), mesic Ustic Torriorthents",neville,6-26-19,x,0.10342345,0.023472261,0.133716351,1.297761195,7.44,2.658936919,-12.71,6.1,0.730920344,0.07,0.431451613,0.858266129,1.920967742,2.779233871,0.241503399,0.75019992,3.106374172,ammonium acetate,44.2,4.6,0,0.9,49.7,0.02040015,5.18E-04,0.063408711,0.005064488,Silt Loam,26.3,56.3,17.5,73.8
85,17,c,Grab Bag,MT,"45.55290, -107.34871",45.5529,-107.34871,25-45+,25,45,35,45,west,entisol,grasses,ustic,frigid,972,c2,7.58,411,0.208,631352,"western wheatgrass, green needlegrass, sideoats gram","Clayey, montmorillonitic (calcareous), nonacid, frigid, shallow Ustic Torriorthents",lismas,6-26-19,x,NA,NA,NA,NA,7.34,0.553219799,-18.03,4.99,0.763612121,0.09,0.303030303,2.886868687,3.371717172,6.258585859,0.05354472,0.919732775,17.17690875,ammonium acetate,35.2,14.8,2.6,1,53.6,0.022155077,0.002045956,0.088377532,0.008045979,Clay,13.8,31.3,55,86.3
86,18,c,Potosi,MT,"45.57203, -111.91427",45.57203,-111.91427,17-25+,17,25,21,25,west,inceptisol,coniferous forest,udic,cryic,1907,c,3.44,428,0.276,512783,"Douglas-fir, subalpine fir, lodgepole pine, huckleberry, grouse whortleberry, snowberry, buffaloberry, heartleaf arnica, western meadowrue, grasses, forbs","Sandy-skeletal, mixed Typic Haplocryepts",como,6-27-19,x,NA,NA,NA,NA,4.09,0,-23.96,5.61,0.94,0.08,1.010418714,3.133477492,1.713976804,4.847454295,0.693922431,0.317972811,0.458225295,ammonium chloride,3.6,0.5,0,0.5,4.6,0.021698162,6.62E-05,0.044853986,0.002041889,Sandy Loam,73.8,21.3,5,26.3
87,19,c,Turah,MT,"46.63344, -114.58388",46.63344,-114.58388,24-35+,24,35,29.5,35,west,inceptisol,coniferous forest,udic,cryic,1632,c,3.64,388,0.273,99463,"subalpine fir, western larch, Douglas-fir, Engelmann spruce, and lodgepole pine with an understory of twinflower, blue huckleberry, queencup beadlily, rusty menziesia, grouse whortleberry","Loamy-skeletal, mixed Andic Cryochrepts",petty,6-28-19,x,NA,NA,NA,NA,4.53,0.196600806,-24.27,5.3,0.376407369,0.03,1.23326572,2.011967546,4.965517241,6.977484787,0.584107018,0.423679744,0.725346095,NA,NA,NA,NA,NA,NA,0.0273425,0,0.03833857,5.12E-04,NA,NA,NA,NA,NA
88,20,c,Clearwater,ID,"46.51269, -114.76499",46.51269,-114.76499,10-16+,10,16,13,16,west,andisol,coniferous forest,udic,frigid,1131,c,6.25,236,0.157,NA,NA,"Ashy over loamy-skeletal, amorphic over isotic, frigid Typic Udivitrands",typic vitrandepts,6-28-19,x,NA,NA,NA,NA,4.6,0,-25.44,4.83,1.85,0.11,2.719876017,3.285548237,2.328554824,5.614103061,0.661385152,0.293173891,0.443272563,ammonium chloride,7.3,1.2,0,0.2,8.7,NA,NA,0.119330227,0.010039501,Loamy Sand,75,20,5,25
