seqID,No.,pedon_ID,location_name,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no,DNA.extract,DNA.conc,DNA.volume,total.DNA.ug.per.g,project,data
B100,71,31,Death Valley,c,D,P,V,36.86487,-116.77128,952,16.12,105,0.03,pacific coast,aridisol,shrubs,desert,aridic,thermic,california,yermo,"269,786","creosotebush, white bursage, scattered yucca and Joshua tree and annual grasses and forbs","Loamy-skeletal, mixed, superactive, calcareous, thermic Typic Torriorthents",71,LL_3,2.8,100,1.12,national soils,B100
B101,72,32,Flagstaff,c,D,P,Y,35.21865,-111.52502,1915,16.12,105,0.03,southwest,mollisol,shrubs,desert,aridic,cryic,arizona,sizer,"13,909","ponderosa pine, spruce, fir and quaking aspen, with some Arizona fescue, mountain muhly, pine dropseed and Kentucky bluegrass","Fine-loamy over fragmental, mixed Argic Cryoborolls",72,LL_3,26.2,100,10.48,national soils,B101
B102,73,33,Jerome,c,D,N,V,34.55027,-111.87759,993,16.91,392,0.121,southwest,aridisol,shrubs,desert,ustic,thermic,arizona,bewearze,176,"mesquite, alkali sacaton, threeawn, canotia and rabbitbrush","Coarse-silty, mixed, superactive, thermic Ustic Haplocambids",73,LL_3,0.6,100,0.24,national soils,B102
B103,74,34,Tonto,c,D,N,X,34.31288,-111.03776,1741,10.74,579,0.226,southwest,alfisol,shrubs,desert,ustic,frigid,arizona,sanchez,"27,977","Ponderosa pine, pinyon pine, juniper, shrubs, and grasses","Loamy-skeletal, mixed, superactive, frigid Lithic Haplustalfs",74,LL_3,37.2,100,14.88,national soils,B103
B104,75,36,El Malpais,c,D,P,W,34.95594,-107.82979,2082,9.98,282,0.111,southwest,alfisol,shrubs,desert,aridic,mesic,new mexico,celacy,"91,685","pinyon-juniper savanna with an understory of blue grama, bottlebrush squirreltail, and broom snakeweed","Fine-loamy, mixed, superactive, mesic Aridic Haplustalfs",75,LL_3,3.9,100,1.56,national soils,B104
B105,76,37,Vegas,c,E,N,W,35.53826,-105.16809,1989,9.43,429,0.176,southwest,entisol,grasses,arid grassland,ustic,mesic,new mexico,karde,"72,724","blue grama, bottlebrush squirreltail, sand dropseed, ring muhly, snakeweed","Fine-silty, carbonatic, mesic Ustic Torriorthents",76,LL_3,7.8,100,3.12,national soils,B105
B107,77,39,Rita,c,E,N,W,36.41055,-102.59466,1279,12.64,427,0.152,southwest,alfisol,grasses,arid grassland,ustic,mesic,texas,spurlock,"340,769","mid grasses and short grasses and includes blue grama, sideoats grama and buffalograss with lesser amounts of western wheatgrass, galleta, silver bluestem and prairieclover","Coarse-loamy, carbonatic, mesic Calcidic Paleustalfs",77,LL_3,29.3,100,11.72,national soils,B107
B108,78,40,Silverton,c,E,N,V,34.48575,-101.36531,996,14.3,533,0.187,southwest,mollisol,grasses,temperate grassland,ustic,thermic,texas,pullman,"3,098,080","blue grama and buffalograss, with lesser amounts of vine-mesquite, western wheatgrass, galleta or tobosa, silver bluestem, wild alfalfa, and prairie clove","Fine, mixed, superactive, thermic Torrertic Paleustolls",78,LL_3,50.5,100,20.2,national soils,B108
B109,79,41,Arbuckle,c,E,N,V,34.29457,-96.96809,243,16.78,974,0.429,southwest,mollisol,grasses,temperate grassland,ustic,thermic,oklahoma,durant,"205,269",tall grass,"Fine, smectitic, thermic Udertic Argiustolls",79,LL_3,6.7,100,2.68,national soils,B109
B112,80,44,Ouachita,c,A,M,V,34.68736,-93.81714,276,15.2,1352,0.703,southeast,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,arkansas,avilla,"50,246","Bermuda grass, Bahaiagrass, tall fescue; where wooded: Red Oak, Post Oak, Blackjack Oak, Sweetgum, Walnuts and Shortleaf Pine","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults",80,LL_3,25.5,100,10.2,national soils,B112
B114,81,46,Lewis,c,A,M,V,35.55439,-87.63462,276,14.08,1446,0.79,appalachian highlands,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,tennessee,lax,"151,630","mixed hardwood forest consisting chiefly of oaks, hickories, and beech","Fine-silty, mixed, semiactive, thermic Typic Fragiudults",81,RW_2,52.9,100,21.16,national soils,B114
B115,82,47,Prentice,c,A,M,V,35.13363,-85.9183,564,14,1546,0.874,appalachian highlands,alfisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,tennessee,talbott,"622,346","hardwoods, chiefly oak, hickory, elm, maple, and redcedar","Fine, mixed, semiactive, thermic Typic Hapludalfs",82,RW_2,16.9,100,6.76,national soils,B115
B116,83,48,Stone Mountain,c,A,M,W,36.39753,-81.03891,536,12.36,1215,0.744,appalachian highlands,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,north carolina,tate,"169,922","scarlet oak, white oak, yellow-poplar, eastern white pine, shortleaf pine, Virginia pine, and northern red oak. Understory plants include mountain-laurel, rhododendron, blueberry, greenbrier, flowering dogwood, black locust, honeysuckle, sourwood, and flame azalea","Fine-loamy, mixed, semiactive, mesic Typic Hapludults",83,RW_2,4.8,100,1.92,national soils,B116
B117,84,49,Jefferson,c,A,M,W,37.80105,-79.63214,520,11.52,1049,0.637,appalachian highlands,inceptisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,virginia,litz,"152,326","oaks, hickory, yellow poplar and locust","Loamy-skeletal, mixed, active, mesic Ruptic-Ultic Dystrudepts",84,RW_2,42.2,100,16.88,national soils,B117
B118,85,50,Monongahela,c,A,M,W,38.96732,-79.23654,510,10.64,973,0.624,appalachian highlands,alfisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,west virginia,opequon,"49,682",mixed oaks,"Clayey, mixed, active, mesic Lithic Hapludalfs",85,RW_2,1.6,100,0.64,national soils,B118
B119,86,51,Finger Lakes,c,A,L,W,42.49991,-76.78338,547,7.08,952,0.728,northeast,inceptisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,new york,erie,"195,885","sugar maple, white ash, northern red oak, white pine, and hemlock","Fine-loamy, mixed, active, mesic Aeric Fragiaquepts",86,RW_2,3.8,100,1.52,national soils,B119
B120,87,52,Waistfield,c,C,M,X,44.18097,-72.81144,260,5.93,1072,0.878,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,frigid,vermont,berkshire,"696,634","paper birch, eastern white pine, white ash, red pine, balsam fir, white spruce, sugar maple, yellow birch, and red spruce","Coarse-loamy, isotic, frigid Typic Haplorthods",87,RW_2,11.5,100,4.6,national soils,B120
B122,89,54,Bangor,c,C,L,X,44.96711,-68.5414,51,6.08,1067,0.828,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,peru,"1,676,254","red maple, elm, gray birch, white ash, balsam fir, red and white spruce, tamarack, and some eastern white pine","Coarse-loamy, isotic, frigid Aquic Haplorthods",89,RW_2,23.5,100,9.4,national soils,B122
B123,90,55,Aroostook,c,C,L,X,46.60899,-68.00531,193,3.84,924,0.803,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,plaisted,"642,598","sugar maple, yellow birch, paper birch, eastern white pine, red pine, white spruce, red spruce and balsam fir","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods",90,RW_2,23.8,100,9.52,national soils,B123
B125,91,57,Halifax,c,C,M,Y,44.69163,-63.69352,57,6.56,1448,1.281,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,cryic,nova scotia,,,,,91,RW_2,0.6,100,0.134,national soils,B125
B127,92,59,Portobello Creek,c,A,M,Y,45.90001,-66.25795,12,5.64,1115,0.978,northeast,vertisol,deciduous hardwood forest,temperate deciduous forest,udic,cryic,new brunswick,,,,,92,RW_2,0.6,100,0.24,national soils,B127
B132,95,64,Moscow Mountain,c,B,O,X,46.79864,-116.90064,1021.3,7.16,700,0.466,mountain west,alfisol,coniferous forest,temperate grassland,xeric,frigid,idaho,kruse,"48,198","grand fir, Douglas-fir, western white pine, ponderosa pine, western larch, and lodgepole pine, with an understory of myrtle pachystima, Columbia brome, American trailplant, baldhip rose, starry false-Solomon's-seal, sweetscented bedstraw, pine reedgrass, common snowberry, elk sedge, mallow ninebark, creambush oceanspray, and white spirea","Fine-loamy, isotic, frigid Vitrandic Haploxeralfs",95,RW_3,32.6,100,13.04,national soils,B132
B133,96,67,Wallowa National Forest,c,B,M,X,45.6937,-117.27432,1489.8,4.96,496,0.34,mountain west,andisol,coniferous forest,temperate coniferous forest,udic,frigid,oregon,syrupcreek,"217,188","grand fir, western larch, lodgepole pine, twinflower, princes pine, pinegrass, big huckleberry, and round-leaved violet","Ashy over loamy-skeletal, amorphic over isotic, frigid Alfic Udivitrands",96,RW_3,37.7,100,15.08,national soils,B133
B134,97,68,Ribdon,c,F,L,Z,68.87527,-148.85725,435,-9.57,215,0.348,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,97,RW_3,68.7,100,27.48,national soils,B134
B135,98,69,Sagavanirktok,c,F,L,Z,68.80778,-148.8183,449,-9.32,217,0.343,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,98,RW_3,54,100,21.6,national soils,B135
B136,99,71,Slope Mountain,c,F,L,Z,68.6881,-149.08034,771,-8.77,240,0.371,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,99,RW_3,15.2,100,6.08,national soils,B136
B137,100,72,Kuparuk River,c,F,L,Z,68.64657,-149.40942,735,-9.17,237,0.385,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,100,RW_3,59,100,23.6,national soils,B137
BLANK,Sequencing_BLANK,Sequencing_BLANK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RW_3,NA,NA,NA,national soils,BLANK
BLANK1,Sequencing_BLANK,Sequencing_BLANK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RW_3,NA,NA,NA,national soils,BLANK
BLANK2,Sequencing_BLANK,Sequencing_BLANK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RW_3,NA,NA,NA,national soils,BLANK
L193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L193
L195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L195
L196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L196
L197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L197
L198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L198
L200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L200
L201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L201
L202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L202
L203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L203
L206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juana,L206
SP037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP037
SP038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP038
SP039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP039
SP040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP040
SP041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP041
SP042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP042
SP043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP043
SP044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP044
SP045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP045
SP046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP046
SP047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP047
SP048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP048
SP049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP049
SP050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP050
SP051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP051
SP052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP052
SP053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP053
SP054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP054
SP055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP055
SP056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP056
SP057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP057
SP058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP058
SP059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP059
SP060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP060
SP061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP061
SP062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP062
SP063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil_priming,SP063
