pedon_ID,horizon,extract,Ca,Mg,Na,K,CEC,location
36,c,ammonium chloride,3.7,1.5,0,0.1,5.3,El Malpais
36,a,ammonium chloride,2.7,0.6,0,0.2,3.5,El Malpais
59,c,ammonium chloride,1.4,0.2,0.5,0,2.1,Portobello Creek
54,c,ammonium chloride,1.4,1,0.1,0.1,2.6,Bangor
8,c,ammonium chloride,3.7,2,0,0,5.7,Fox Coulee
3,c,ammonium chloride,1.8,0.7,0,0.1,2.6,Punderson Park
34,c,ammonium chloride,8.6,1.8,0,0.3,10.7,Tonto
48,c,ammonium chloride,0.1,0,0,0.1,0.2,Stone Mountain
50,c,ammonium chloride,9.5,0.9,0,0.3,10.7,Monagahela
51,c,ammonium chloride,5.8,1.9,0,0.1,7.8,Finger Lakes
55,c,ammonium chloride,2,0.8,0,0.1,2.9,Aroostook
44,c,ammonium chloride,1.6,0.8,0,0.2,2.6,Ouachita
46,c,ammonium chloride,0.4,0.8,0,0.2,1.4,Lewis
47,c,ammonium chloride,2.9,0.8,0,0.1,3.8,Prentice
15,c,ammonium chloride,4.2,6.6,4.3,0.3,15.4,Twisted Cedar
53,c,ammonium chloride,0.1,0,0,0,0.1,White Mountains
18,c,ammonium chloride,3.6,0.5,0,0.5,4.6,Potosi
40,c,ammonium chloride,12.5,3.7,0,1.1,17.3,Silverton
4,a,ammonium chloride,2.5,0.5,0,0.1,3.1,Potato Creek
41,c,ammonium chloride,14.7,6.1,0.3,0.2,21.3,Arbuckle
15,a,ammonium chloride,6.4,5.5,0.8,0.8,13.5,Twisted Cedar
28,c,ammonium chloride,0.6,0.1,0.2,0.1,1,El Dorado
43,a,ammonium chloride,2.1,0.2,0,0,2.3,Gambil
49,c,ammonium chloride,0.1,0.1,0,0.1,0.3,Jefferson
64,c,ammonium chloride,5.1,0.6,0.1,0.5,6.3,Moscow
66,a,ammonium chloride,8.5,2.9,0,0.2,11.6,Payette
29,c,ammonium chloride,25.5,10,0.2,0.3,36,Merklee
8,a,ammonium chloride,13.5,5.9,0,0.2,19.6,Fox Coulee
62,c,ammonium chloride,0.4,0.1,0,0,0.5,Vermontville
52,c,ammonium chloride,1.3,0.5,0,0.2,2,Waitsfield
20,c,ammonium chloride,7.3,1.2,0,0.2,8.7,Clearwater
67,c,ammonium chloride,19.1,5.4,0.1,0.8,25.4,Wallowa
40,a,ammonium chloride,5.4,1.8,0,0.7,7.9,Silverton
63,c,ammonium chloride,0.3,0.1,0,0,0.4,Ohio
6,a,ammonium chloride,16.1,7.8,0,0.3,24.2,Pecatonica
71,c,ammonium chloride,11.6,1,0,0.1,12.7,Slope mountain
52,a,ammonium chloride,4.2,1,0,0.2,5.4,Waitsfield
32,a,ammonium chloride,21.7,8.8,0,2.7,33.2,Flagstaff
6,c,ammonium chloride,14.7,8.1,0.1,0.1,23,Pecatonica
59,a,ammonium chloride,6.9,0.8,0.2,0.2,8.1,Portobello Creek
50,a,ammonium chloride,13.3,0.9,0,0.4,14.6,Monagahela
54,a,ammonium chloride,5.1,0.9,0,0.4,6.4,Bangor
47,a,ammonium chloride,13.8,1.3,0,0.2,15.3,Prentice
2,a,ammonium chloride,2.1,0.4,0,0.2,2.7,Whitlam Woods
69,c,ammonium chloride,4.5,0.9,0,0.1,5.5,Sagavinirktok
10,a,ammonium chloride,18.7,5.4,0,0.6,24.7,Blue mounds
34,a,ammonium chloride,15.7,2.2,0,0.4,18.3,Tonto
19,a,ammonium chloride,4.7,0.5,0,0.7,5.9,Turah
41,a,ammonium chloride,20.2,3.2,0,0.4,23.8,Arbuckle
51,a,ammonium chloride,10.2,2.6,0,0.4,13.2,Finger Lakes
44,a,ammonium chloride,5.6,1.1,0,0.3,7,Ouachita
22,c,ammonium chloride,0.5,0.4,0.1,0.2,1.2,Disappointment
46,a,ammonium chloride,2.9,0.7,0,0.3,3.9,Lewis
65,a,ammonium chloride,17.2,5.3,0.1,1.6,24.2,Brundage
28,a,ammonium chloride,1.6,0.2,0.1,0.2,2.1,El Dorado
55,a,ammonium chloride,3.5,0.7,0,0.2,4.4,Aroostook
18,a,ammonium chloride,9.8,1.2,0,0.4,11.4,Potosi
62,a,ammonium chloride,1,0.2,0,0.1,1.3,Vermontville
25,a,ammonium chloride,6.5,2.4,0.1,1.3,10.3,Alsea
67,a,ammonium chloride,29.2,6.3,0,2.6,38.1,Wallowa
48,a,ammonium chloride,1,0.5,0,0.2,1.7,Stone Mountain
29,a,ammonium chloride,34.5,10.8,0.1,0.6,46,Merklee
57,c,ammonium chloride,0.5,0.1,0,0,0.6,Halifax
24,c,ammonium chloride,11.7,4.9,0.2,0.4,17.2,Siuslaw
20,a,ammonium chloride,20.7,2.3,0,0.4,23.4,Clearwater
53,a,ammonium chloride,1.2,0.1,0,0.1,1.4,White Mountains
63,a,ammonium chloride,0.1,0.1,0,0,0.2,Ohio
68,c,ammonium chloride,1.4,0.3,0,0.1,1.8,Ribdan
3,a,ammonium chloride,2.5,1.1,0.1,0.3,4,Punderson Park
64,a,ammonium chloride,34.7,2.2,0.1,0.7,37.7,Moscow
49,a,ammonium chloride,1,0.7,0,0.4,2.1,Jefferson
2,c,ammonium chloride,2.2,0.6,0,0.1,2.9,Whitlam Woods
21,a,ammonium chloride,0.4,0.9,0.2,0.3,1.8,Olympic
24,a,ammonium chloride,20.6,7.2,0.2,1,29,Siuslaw
22,a,ammonium chloride,1.5,1.4,0.2,0.3,3.4,Disappointment
57,a,ammonium chloride,4.1,3.1,0.3,0.3,7.8,Halifax
69,a,ammonium chloride,34.2,2.7,0.1,0.5,37.5,Sagavinirktok
72,a,ammonium chloride,24.5,9.6,0.4,0.6,35.1,Oksrikuyik Creek
68,a,ammonium chloride,31.9,5.1,0.2,1.5,38.7,Ribdan
73,a,ammonium chloride,26.9,5.4,0.1,0.4,32.8,Kuparuk River
39,a,ammonium acetate,18.4,0.8,0,0.5,19.7,Rita
31,c,ammonium acetate,38.5,2,4.4,2.8,47.7,Death Valley
31,a,ammonium acetate,29.2,2,0.3,3.2,34.7,Death Valley
39,c,ammonium acetate,34.7,0.9,0,0.3,35.9,Rita
17,c,ammonium acetate,35.2,14.8,2.6,1,53.6,Grab Bag
32,c,ammonium acetate,28.1,8.5,0.1,0.6,37.3,Flagstaff
16,c,ammonium acetate,44.2,4.6,0,0.9,49.7,Tensleep
12,c,ammonium acetate,49.3,4.1,1.2,0.5,55.1,Cottonwood
16,a,ammonium acetate,26.4,3.1,0,1.6,31.1,Tensleep
17,a,ammonium acetate,25.2,11.1,0.2,1.9,38.4,Grab Bag
33,c,ammonium acetate,43.7,14.5,0.1,2,60.3,Jerome
37,a,ammonium acetate,48.3,2.2,0.1,1.3,51.9,Vegas
33,a,ammonium acetate,44.5,8.9,0,2.8,56.2,Jerome
37,c,ammonium acetate,47.2,3.3,0.1,0.5,51.1,Vegas
12,a,ammonium acetate,34.2,2,0,2,38.2,Cottonwood
14,c,ammonium acetate,43.7,2.3,0,0.2,46.2,Spearfish
14,a,ammonium acetate,40.2,1.7,0,0.3,42.2,Spearfish
71,a,ammonium acetate,50.1,3.5,0.1,0.5,54.2,Slope mountain
70,a,ammonium acetate,77.1,4.3,0.2,0.3,81.8,Flat
