pedon_ID,horizon,mean_DOC_wet,mean_DN_wet,mean_MBC_wet,mean_MBN_wet
2,a,0.046810782037628604,8.759420044233649e-4,0.2445098892127818,0.03415071367624442
2,b,0.04915721553739814,0.00295125109334908,0.07274078470390423,0.006055605325001504
2,c,0.03437909824452474,3.4667092740342157e-4,0.05418455076016986,0.001952128082310014
3,a,0.0668462998783272,0.02456689897728193,0.39420589383012783,0.06177693293219625
3,b,0.05626509279292778,0.005866753633783829,0.12343240737568689,0.015607082772962888
3,c,0.034667121777766485,9.46694143414006e-4,0.06031144314087439,0.0034178533937112596
4,a,0.02248360621779502,0.005996852038087609,0.09340882655241917,0.016975365152176992
4,b,0.016861709676574237,0.0018438180686555859,0.02384083900819822,0.0028022208107113503
4,c,0.018877457572635207,0.00269476128461639,0.031014722072086394,0.004067791784973892
5,a,0.02250432574094303,0.017352482842732966,0.12707819128691408,0.0396309959135413
5,b,0.016387853179448287,0.0017408367789578797,0.03849911963425219,0.00404731235696266
5,c,0.014181172928553762,0.001114821605163693,0.030017135340377712,0.003090574817864947
6,a,0.014419893056924482,0.009208595633004642,0.06994408755988595,0.022296923507518808
6,b,NA,0.0022034737578060467,0.03193030912840069,0.00524325963597207
6,c,0.010185851528020949,0.001726772586263155,0.02104444274947581,0.003947531473018236
7,b,NaN,NaN,NaN,NaN
7,c,0.017090218183782098,NA,0.021855915246318795,0.0017481483330443243
7,e,0.029583626874401206,0.002077966142557451,NA,NA
7,o,0.21296496845637128,0.028645753415741288,1.0649552589297175,0.1925963959087877
8,a,0.012750428075780884,0.004626295473589603,0.06399406465479165,0.012262153687011994
8,b,0.010833426154275202,0.0017605865482796911,0.024870961360254965,0.00428678979024002
8,c,0.009246720350637437,0.001402421103377172,0.01472058730269791,0.002369888873640528
9,a,0.01680544295284549,0.0016043016900806537,0.09183609264814323,0.010583604242634761
9,b,NA,NA,0.04076061953468268,0.005756491623492979
9,c,0.018743132930407712,NA,0.020153938125482686,0.001917600323949192
10,a,0.01586429540217211,0.006756839973732292,0.08952220481744258,0.02141953582141629
10,b,0.019366142338562122,0.0027491068284410656,0.052798230252873106,0.006373703545038996
11,a,0.02528143983858529,0.007133428308342707,0.4114043599708598,0.0581784481879172
11,b,0.01326488842347253,0.005593962280585515,0.11094062224416698,0.019314124555251496
11,c,0.009967054254828574,NA,0.03352448042423477,0.004069157318373746
12,a,0.023771075143038025,0.011966596239891302,0.28486264911050546,0.06692036414917645
12,b,0.018370384792906123,0.0018946661044513622,0.10412086996360835,0.004595489303351273
12,c,0.015279840346326214,0.002762781992448621,0.05669244011670732,0.006758827276404228
13,a,0.04965856970958207,0.012146831517331095,0.1275940410434269,0.03717174061097699
13,b,0.058933200383530664,0.003994585144789006,0.1322421893404618,0.021675550450504087
14,a,NA,NA,0.13485999024259596,0.03606338910890618
14,b,0.015268222453581117,0.005828049176987455,0.02640841066026067,0.00850263569637496
14,c,0.01834382939620683,0.007152447142988573,0.0429459239158098,0.012780318624922963
15,a,0.014565400693319236,0.00243766620904106,0.1025890181224301,0.01078198721120751
15,b,0.012465668800404062,0.0011886674508003305,0.046646925659472406,0.0038859269242141506
15,c,0.06848339333516408,0.004599274555894529,0.08465840042082734,0.0054780002765149214
16,a,0.031809217306567744,0.002527384585455993,0.2391541925507424,0.024552404709275208
16,c,0.02040015010623296,5.178604353769352e-4,0.06340871140804681,0.005064488435106989
17,a,0.020405988831353087,0.0032866030678894735,0.29762686946584554,0.04254816043583717
17,b,0.01881917666519906,NA,0.09674710439673936,0.007378690296243839
17,c,0.022155077379671793,0.0020459562257010744,0.08837753226671996,0.008045979288675727
18,a,0.02643379760655052,0.0018313887765313282,0.12204877864432116,0.014226067267643748
18,b,NA,NA,0.05942272321177124,0.0058322151910696046
18,c,0.02169816217915697,6.618132030886317e-5,0.04485398638383036,0.0020418887577486754
19,a,0.03366601909481768,1.2614221906662344e-4,NA,NA
19,b,0.03869669131834584,0.0020980589893528174,0.06202848554039634,0.0034654263563147487
19,c,0.027342499669800555,0,0.038338570106668815,5.116718686967046e-4
20,a,0.03720431969563125,0.0013131613270437662,0.25509934734284406,0.03576681216002695
20,b,0.0249424839807082,0.0021965678764238766,0.13897484446355157,0.019883768264219823
