unique_ID,pedon_ID,horizon,mg_IC_g_soil,mg_IC_g_soil_zero,pH,rep,percent_carbonate
108,42,c,-0.321273905,0,3.7,1,0
109,43,c,-0.217320302,0,4.09,1,0
110,44,c,-0.152049667,0,4.23,1,0
111,45,c,-0.015652711,0,6.3,1,0
112,46,c,-0.08298489,0,3.73,1,0
113,47,c,0.02574336,0.02574336,4.61,1,0.02145231416973199
114,48,c,-0.387217971,0,4.33,1,0
115,49,c,-0.022519433,0,3.94,1,0
116,50,c,-0.216151236,0,3.94,1,0
117,51,c,-0.025838155,0,5.12,1,0
118,52,c,-0.112627104,0,4.19,1,0
119,53,c,-0.105525883,0,4.44,1,0
120,54,c,-0.062267753,0,4.14,1,0
121,55,c,-0.167016303,0,4.57,1,0
122,56,c,-0.137948876,0,3.65,1,0
123,57,c,-0.078341583,0,4.32,1,0
124,58,c,-0.033874256,0,4.42,1,0
125,59,c,-0.244344734,0,4,1,0
126,60,c,-0.181813348,0,5.92,1,0
127,61,c,-0.193938534,0,5.73,1,0
128,62,c,-0.060724714,0,4.39,1,0
129,63,c,-0.166434147,0,4.41,1,0
130,64,c,-0.388604224,0,5.03,1,0
131,67,c,-0.12133737,0,4.8,1,0
132,68,c,-0.123415274,0,3.98,1,0
133,69,c,-0.242041206,0,3.85,1,0
134,71,c,0.257333244,0.257333244,6.2,1,0.21443951359124447
135,7,o,-0.131340312,0,3.76,1,0
