unique_ID.x,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep,unique_ID.y,mg_IC_g_soil,mg_IC_g_soil_zero,pH,percent_carbonate,SOC,TN
54,56,a,5.115,-28.54,1.61,8.67,0.6,1,54,-0.153668924,0,3.39,0,8.67,0.6
55,57,a,4.894,-28.14,0.17,23.58,0.89,1,55,-0.370030754,0,2.76,0,23.58,0.89
56,58,a,5.079,-27.39,2.48,4.7,0.37,1,56,-0.167498206,0,4.7,0,4.7,0.37
57,59,a,4.883,-27.78,2.19,3.23,0.32,1,57,-0.113734712,0,4.36,0,3.23,0.32
58,60,a,5.037,-26.02,3.84,4.71,0.32,1,58,-0.168978719,0,5.34,0,4.71,0.32
59,61,a,4.871,-29.64,1.32,4.78,0.32,1,59,-0.232633183,0,4.41,0,4.78,0.32
60,62,a,4.871,-26.93,4.15,5.01,0.27,1,60,-0.391019819,0,3.83,0,5.01,0.27
61,63,a,4.825,-25.97,6.89,7.56,0.48,1,61,-0.191446361,0,4.06,0,7.56,0.48
62,64,a,4.905,-27.01,-1.5,9.52,0.4,1,62,-0.539971146,0,5.54,0,9.52,0.4
63,65,a,5.271,-24.96,4.79,4.48,0.33,1,63,-0.340234948,0,4.37,0,4.48,0.33
64,66,a,5.487,-26.22,4.12,1.17,0.13,1,64,-0.041937694,0,5.35,0,1.17,0.13
65,67,a,5.245,-25.65,2.35,5.9,0.34,1,65,-0.061669992,0,5.36,0,5.9,0.34
66,68,a,5.16,-27.65,0.88,38.37,1.13,1,66,-1.286265301,0,3.91,0,38.37,1.13
67,69,a,5.907,-27.9,0.87,25.34,1.14,1,67,-0.378024912,0,6.19,0,25.34,1.14
68,70,a,5.1,-26.51,2.1,26.59,2.12,1,68,-0.327533972,0,6.81,0,26.59,2.12
69,71,a,5.178,-27.38,-0.47,10.94,0.64,1,69,0.270501558,0.270501558,6.69,0.22541286007801542,10.9129498442,0.64
70,72,a,5.307,-26.28,0.28,28.25,0.49,1,70,-1.906957795,0,3.75,0,28.25,0.49
72,2,c,5.414,-27.95,1.01,12.73,0.57,1,72,-0.030645943,0,3.91,0,12.73,0.57
73,3,c,9.917,-24.46,3.76,0.4,0.07,1,73,-0.132407228,0,3.91,0,0.4,0.07
74,4,c,10.563,-24.7,5.8,0.54,0.06,1,74,-1.831625435,0,4.65,0,0.54,0.06
75,5,c,41.656,-3.16,5.26,2.98,0.06,1,75,15.00788481,15.00788481,7.15,12.50628744527787,1.479211519,0.06
76,6,c,10.8502,-3.37,4.58,3.05,0.06,1,76,-0.226869223,0,5.81,0,3.05,0.06
77,7,c,10.222,-20.85,7.43,0.6,0.08,1,77,-0.110821346,0,4.45,0,0.6,0.08
78,8,c,40.38,-24.19,5.11,0.26,0.03,1,78,-0.326023201,0,5.52,0,0.26,0.03
79,9,c,40.269,-23.56,4.54,0.15,0.02,1,79,-0.036487301,0,4.51,0,0.15,0.02
80,11,c,9.995,-14.28,2.88,0.67,0.08,1,80,1.750211811,1.750211811,7.56,1.4584768123954133,0.49497881890000006,0.08
81,12,c,10.16,-11.99,3.96,1.41,0.11,1,81,7.309189751,7.309189751,7.48,6.0908535196896265,0.6790810248999999,0.11
82,14,c,10.085,-9.5,3.38,6.69,0.15,1,82,25.08825812,25.08825812,7.12,20.90640829952149,4.181174188,0.15
83,15,c,9.868,-23.68,3.72,0.79,0.09,1,83,-0.069269233,0,3.82,0,0.79,0.09
84,16,c,10.769,-12.71,6.1,1.05,0.07,1,84,3.190796563,3.190796563,7.44,2.658936918924998,0.7309203437,0.07
