Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep,pedon_ID,horizon,HH_DOC_ppm,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al
47,16,11.32,2.736,1.577,0.3883,20.5,3.688,12.86,0.5017,4,24.3,1,18,a,97.2,1.9374127964919274,4.08610723539964,2.563284831572653,6.649392066972293
49,86,5.864,1.727,0.9513,0.306,15.94,1.481,8.719,0.5087,2,25.7,1,18,c,51.4,1.0104187143699626,3.1334774916453703,1.713976803617063,4.847454295262433
50,17,5.329,1.568,1.802,0.2821,27.44,3.329,31.62,0.4983,10,18.3,1,19,a,183,3.6724864539434074,5.506722857716236,6.3455749548464775,11.852297812562714
52,87,0.9981,2.369,0.4639,0.0921,9.919,0.4423,24.48,0.493,4,15.2,1,19,c,60.8,1.2332657200811359,2.0119675456389454,4.9655172413793105,6.9774847870182555
53,18,22.16,6.487,1.211,0.4457,13.52,1.635,10.8,0.4941,4,35.4,1,20,a,141.6,2.8658166363084394,2.7362882007690748,2.185792349726776,4.922080550495851
55,88,7.713,5.167,0.8395,0.5093,16.96,0.6726,12.02,0.5162,12,11.7,1,20,c,140.39999999999998,2.7198760170476555,3.2855482371173967,2.3285548237117397,5.6141030608291365
56,19,0.7349,3.211,0.9776,0.5823,57.28,0.4331,52.9,0.4931,12,49.2,1,21,a,590.4000000000001,11.973230582032045,11.616305009125938,10.728047049280065,22.344352058406002
58,89,0.2899,4.527,0.2801,0.1306,65.9,3.362,67.16,0.497,4,22.9,1,21,c,91.6,1.8430583501006035,13.259557344064387,13.513078470824949,26.772635814889334
59,20,2.143,1.578,1.221,0.6702,43.24,2.324,49.24,0.4996,12,49.5,1,22,a,594,11.889511609287432,8.654923939151322,9.855884707766213,18.510808646917535
61,90,0.5802,0.8563,0.5895,0.3441,51.55,1.837,54.17,0.4989,10,35.1,1,22,c,351,7.0354780517137705,10.33273201042293,10.857887352174785,21.190619362597715
62,21,4.572,3.376,0.9649,0.3833,41.03,1.17,33.58,0.5079,10,39.3,1,23,a,393,7.737743650324867,8.078361882260287,6.611537704272494,14.689899586532782
64,91,1.187,5.608,0.666,0.3837,61.56,3.491,95.56,0.5061,12,24.9,1,23,c,298.79999999999995,5.9039715471250735,12.163604030823949,18.881643943884608,31.04524797470856
65,22,22.17,21.75,2.042,0.4955,60.13,18.42,82.45,0.5027,12,26.3,1,24,a,315.6,6.278098269345534,11.961408394668789,16.40143226576487,28.362840660433662
67,92,11.08,17.57,0.9747,0.5041,49.77,14.61,88.17,0.5152,4,59.8,1,24,c,239.2,4.642857142857142,9.660326086956523,17.113742236024844,26.774068322981368
68,23,6.065,2.547,2.601,0.3236,20.63,7.918,47.63,0.5068,4,36.5,1,25,a,146,2.8808208366219414,4.070639305445934,9.398184688239937,13.46882399368587
70,93,1.156,2.483,0.8744,0.3039,24.34,3.247,42.96,0.4939,2,17.9,1,25,c,35.8,0.7248430856448673,4.928123101842479,8.698117027738409,13.626240129580887
71,24,22.33,5.052,3.937,0.6921,19.96,3.337,20.36,0.5095,2,20.8,1,26,a,41.6,0.8164867517173701,3.917566241413151,3.996074582924436,7.9136408243375875
73,25,7.49,5.672,1.394,0.2819,14.93,3.44,10.7,0.5162,2,14.6,1,27,a,29.2,0.5656722200697404,2.8922898101511043,2.072839984502131,4.965129794653235
75,94,6.436,4.851,1.31,0.3503,14.72,2.704,11.95,0.5089,2,10,1,27,c,20,0.39300451955197485,2.892513263902535,2.3482020043230496,5.240715268225585
76,26,3.131,4.937,0.8507,0.6194,28.45,0.3003,26.84,0.4924,12,15.7,1,28,a,188.39999999999998,3.826157595450853,5.777822908204712,5.450852965069049,11.228675873273762
78,95,2.375,3.815,0.6764,0.6134,41.32,0.475,21.93,0.5007,4,28,1,28,c,112,2.236868384262033,8.252446574795286,4.379868184541642,12.632314759336928
79,27,42.19,14.88,2.029,0.5796,31.48,2.023,15.89,0.5046,4,29.7,1,29,a,118.8,2.354340071343638,6.238604835513278,3.1490289338089577,9.387633769322235
81,96,28.26,15.71,1.164,0.6799,33.34,1.08,18.66,0.5091,2,6.7,1,29,c,13.4,0.2632095855431153,6.54881162836378,3.6652916912197995,10.214103319583579
82,28,12.42,1.754,1.48,0.3475,3.903,1.168,5.178,0.4945,2,5.1,1,30,a,10.2,0.2062689585439838,0.7892821031344793,1.0471183013144592,1.8364004044489386
83,97,9.781,2.62,1.57,0.5021,3.627,1.33,6.015,0.515,2,3.8,1,30,c,7.6,0.14757281553398058,0.7042718446601941,1.1679611650485437,1.8722330097087378
84,29,49.58,8.982,5.879,1.252,2.826,1.448,8.228,0.5093,2,10.6,1,31,a,21.2,0.41625760848223053,0.5548792460239546,1.6155507559395248,2.1704300019634792
86,98,68.65,9.125,5.84,6.864,3.594,1.766,8.52,0.4984,2,7.8,1,31,c,15.6,0.3130016051364366,0.721107544141252,1.7094703049759226,2.4305778491171743
87,30,27.41,17.4,6.357,2.063,29.97,2.382,20.89,0.5038,2,23,1,32,a,46,0.9130607383882493,5.948789202064311,4.146486701071853,10.095275903136164
89,99,32.8,17.35,2.275,2.06,30.09,2.326,21.25,0.5029,2,11,1,32,c,22,0.4374627162457745,5.983296878106979,4.225492145555776,10.208789023662757
90,31,154.3,58.95,6.375,0.7559,11.29,2.194,15.15,0.4935,2,19.3,1,33,a,38.6,0.7821681864235056,2.2877406281661603,3.069908814589666,5.357649442755826
92,100,200.3,59.91,4.418,0.6768,8.128,2.099,12.35,0.496,2,6.7,1,33,c,13.4,0.2701612903225807,1.638709677419355,2.48991935483871,4.128629032258065
93,32,17.25,2.058,1.324,0.4394,4.359,1.311,4.692,0.4935,5,15.8,1,34,a,79,1.60081053698075,0.8832826747720366,0.9507598784194529,1.8340425531914895
95,101,8.478,2.068,1.29,0.382,5.97,1.569,6.56,0.4948,2,12.1,1,34,c,24.2,0.48908649959579625,1.2065481002425222,1.3257881972514145,2.532336297493937
96,33,89.79,2.377,1.273,0.4378,1.242,2.275,4.225,0.4972,2,6.6,1,35,a,13.2,0.26548672566371684,0.24979887369267903,0.8497586484312148,1.0995575221238938
98,34,3.234,0.7124,0.9768,0.3476,1.489,0.2302,1.951,0.4934,2,6.3,1,36,a,12.6,0.25537089582488853,0.30178354276449126,0.3954195379002838,0.6972030806647751
100,102,3.9,1.491,0.7321,0.3233,2.379,0.2624,3.054,0.496,2,5.1,1,36,c,10.2,0.20564516129032256,0.4796370967741935,0.6157258064516129,1.0953629032258063
101,35,176.1,4.154,3.909,0.3701,4.98,0.6529,7.786,0.5033,2,24.8,1,37,a,49.6,0.9854957281939203,0.9894695012914764,1.5469898668786013,2.5364593681700778
102,103,253.8,5.175,1.978,0.4844,7.252,0.5441,9.554,0.531,2,22.8,1,37,c,45.6,0.8587570621468926,1.3657250470809792,1.79924670433145,3.164971751412429
103,36,485.4,3.7,2.018,0.4136,0.7833,0.6283,0.035,0.4982,2,14,1,38,a,28,0.5620232838217584,0.15722601364913688,0.00702529104777198,0.16425130469690885
