="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="7/25/2019 11:31:52 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:37:45 PM"	="5"	="1"	="NPOC"	="234.8"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:40:53 PM"	="5"	="2"	="NPOC"	="228.8"	="50.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:44:13 PM"	="5"	="3"	="NPOC"	="239.3"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:47:27 PM"	="5"	="4"	="NPOC"	="239.2"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:55:40 PM"	="6"	="1"	="NPOC"	="479.4"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 1:59:00 PM"	="6"	="2"	="NPOC"	="465.1"	="100.0"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 2:02:21 PM"	="6"	="3"	="NPOC"	="489.0"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	=""	1.00	=""	="7/25/2019 2:05:42 PM"	="6"	="4"	="NPOC"	="481.4"	="100.0"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:14:39 PM"	="1"	="1"	="TN"	="3.533"	="0.5000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:17:47 PM"	="1"	="2"	="TN"	="2.719"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:21:15 PM"	="1"	="3"	="TN"	="3.602"	="0.5000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:24:21 PM"	="1"	="4"	="TN"	="2.338"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:27:21 PM"	="1"	="5"	="TN"	="2.926"	="0.5000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:34:23 PM"	="2"	="1"	="TN"	="5.607"	="1.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:37:37 PM"	="2"	="2"	="TN"	="5.324"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:40:53 PM"	="2"	="3"	="TN"	="5.389"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:44:08 PM"	="2"	="4"	="TN"	="5.452"	="1.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:51:17 PM"	="3"	="1"	="TN"	="8.435"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:54:30 PM"	="3"	="2"	="TN"	="8.755"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 2:57:45 PM"	="3"	="3"	="TN"	="8.704"	="1.667"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:05:20 PM"	="4"	="1"	="TN"	="26.74"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:08:55 PM"	="4"	="2"	="TN"	="27.97"	="5.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:12:22 PM"	="4"	="3"	="TN"	="26.27"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:16:03 PM"	="4"	="4"	="TN"	="27.46"	="5.000"	=" "	1	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:19:27 PM"	="4"	="5"	="TN"	="25.68"	="5.000"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:27:17 PM"	="5"	="1"	="TN"	="68.78"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:31:10 PM"	="5"	="2"	="TN"	="68.53"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:34:48 PM"	="5"	="3"	="TN"	="66.72"	="12.50"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:41:37 PM"	="6"	="1"	="TN"	="135.2"	="25.00"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:45:24 PM"	="6"	="2"	="TN"	="136.9"	="25.00"	=" "	0	="100"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_07_25_14_05_42.cal"	=""	1.00	=""	="7/25/2019 3:49:11 PM"	="6"	="3"	="TN"	="133.8"	="25.00"	=" "	0	="100"	
="Unknown"	="NPOC/TN"	="100ppm"	="100ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_25_12_12_49.cal"	1.00	=""	="7/25/2019 4:00:09 PM"	="1"	="1"	="NPOC"	="112.2"	="95.10"	="NPOC:95.63mg/L TN:101.5mg/L"	0	="80"	
