unique_ID,pedon_ID,horizon,mg_IC_g_soil,mg_IC_g_soil_zero,pH,rep
127,61,c,-0.193938534,0,5.73,1
128,62,c,-0.060724714,0,4.39,1
129,63,c,-0.166434147,0,4.41,1
130,64,c,-0.388604224,0,5.03,1
131,67,c,-0.12133737,0,4.8,1
132,68,c,-0.123415274,0,3.98,1
133,69,c,-0.242041206,0,3.85,1
134,71,c,0.257333244,0.257333244,6.2,1
135,7,o,-0.131340312,0,3.76,1
199,72,c,0.04,0.04,3.77,1
